gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269068998,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",8 air miles NNW Gantt,Alabama,PRESENT,,31.501318,-86.391087,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468637,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468635,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468632,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468631,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468629,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468627,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468625,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468254,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468252,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468250,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468247,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786468245,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","3 MI SW MCKENZIE, US 31",Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
786361898,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3.0 MI NW OF MCKENZIE,Alabama,PRESENT,1,31.51,-86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269070689,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","approx 8 miles NNW Gantt, Patsaliga Creek Tributary",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269070401,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","approx 8 miles NNW Gantt, Patsaliga Creek Tributary",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269069702,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","approx 8 miles NNW Gantt, Patsaliga Creek Tributary",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269068686,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","Approx 8 air miles NNW Gantt, Patsaliga Creek",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269067772,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","Approx 8 air miles NNW Gantt, Patsaliga Creek",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269067629,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","Approx 8 air miles NNW Gantt, Patsaliga Creek",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269067283,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","Approx 8 air miles NNW Gantt, Patsaliga Creek",Alabama,PRESENT,,31.523122,-86.488277,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269082948,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","4.7 mi. S. of Industry, E. of Pigeon Crk.  T7N R14E S35(NE1, 4)",Alabama,PRESENT,,31.535487,-86.624555,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269081143,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",5.5 air mi. N.W. Dozier,Alabama,PRESENT,,31.53845,-86.440321,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269071732,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",ca 5.5 air miles NW Dozier,Alabama,PRESENT,,31.53845,-86.440321,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269071729,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",ca. 5.5 air mi. NW Dozier,Alabama,PRESENT,,31.53845,-86.440321,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269070430,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",ca. 5.5 air mi NW Dozier,Alabama,PRESENT,,31.53845,-86.440321,,,,,,,,,,,,,,,,,,,,,,,,,,,
